Draft_Year,Round,Pick_Number,Team,Player,Position,Age,Last_Season,All_Pro_Selections,Pro_Bowl_Selections,Games_Started,Weighted_AV,Draft_Rookie_AV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Int,Sk,College/Univ,Column_28
2022,1,1,JAX,Travon Walker,DE,21,2024,0,0,3,21,21,49,0,0,0,0,0,0,0,0,0,0,0,82,1,24.0,Georgia,College Stats
2022,1,2,DET,Aidan Hutchinson,DE,22,2024,0,1,2,20,20,39,0,0,0,0,0,0,0,0,0,0,0,82,4,28.5,Michigan,College Stats
2022,1,3,HOU,Derek Stingley Jr.,CB,21,2024,1,1,3,21,21,37,0,0,0,0,0,0,0,0,0,0,0,100,11,1.0,LSU,College Stats
2022,1,4,NYJ,Sauce Gardner,CB,22,2024,2,2,3,31,31,48,0,0,0,0,0,0,0,0,0,0,0,128,3,1.0,Cincinnati,College Stats
2022,1,5,NYG,Kayvon Thibodeaux,DE,21,2024,0,0,2,21,21,43,0,0,0,0,0,0,0,0,0,0,0,73,,21.0,Oregon,College Stats
2022,1,6,CAR,Ikem Ekwonu,T,21,2024,0,0,3,19,19,49,0,0,0,0,0,0,0,0,0,0,0,,,,North Carolina St.,College Stats
2022,1,7,NYG,Evan Neal,OL,21,2024,0,0,1,11,11,29,0,0,0,0,0,0,0,0,0,0,0,1,,,Alabama,College Stats
2022,1,8,ATL,Drake London,WR,21,2024,0,0,3,25,25,50,1,1,22,0,0,1,-3,0,241,3042,15,2,,,USC,College Stats
2022,1,9,SEA,Charles Cross,OL,21,2024,0,0,3,22,22,48,0,0,0,0,0,0,0,0,0,0,0,,,,Mississippi St.,College Stats
2022,1,10,NYJ,Garrett Wilson,WR,22,2024,0,0,3,24,24,51,0,2,0,0,0,10,9,0,279,3249,14,1,,,Ohio St.,College Stats
2022,1,11,NOR,Chris Olave,WR,22,2024,0,0,3,20,20,39,0,0,0,0,0,1,7,0,191,2565,10,3,,,Ohio St.,College Stats
2022,1,12,DET,Jameson Williams,WR,21,2024,0,0,1,16,16,33,0,0,0,0,0,15,130,2,83,1396,10,,,,Alabama,College Stats
2022,1,13,PHI,Jordan Davis,DT,22,2024,0,0,2,16,16,47,0,0,0,0,0,0,0,0,0,0,0,41,,3.5,Georgia,College Stats
2022,1,14,BAL,Kyle Hamilton,S,21,2024,1,2,2,22,22,48,0,0,0,0,0,0,0,0,0,0,0,186,5,7.0,Notre Dame,College Stats
2022,1,15,HOU,Kenyon Green,OL,21,2024,0,0,2,8,8,27,0,0,0,0,0,0,0,0,0,0,0,,,,Texas A&M,College Stats
2022,1,16,WAS,Jahan Dotson,WR,22,2024,0,0,2,11,8,46,0,0,0,0,0,3,6,0,103,1257,11,2,,,Penn St.,College Stats
2022,1,17,LAC,Zion Johnson,G,22,2024,0,0,3,20,20,49,0,0,0,0,0,0,0,0,0,0,0,,,,Boston Col.,College Stats
2022,1,18,TEN,Treylon Burks,WR,22,2024,0,0,1,6,6,27,0,0,0,0,0,11,66,0,53,699,1,,,,Arkansas,College Stats
2022,1,19,NOR,Trevor Penning,T,23,2024,0,0,1,12,12,40,0,0,0,0,0,0,0,0,0,0,0,,,,Northern Iowa,
2022,1,20,PIT,Kenny Pickett,QB,24,2024,0,0,2,14,13,30,471,755,4765,15,14,106,306,5,0,0,0,2,,,Pittsburgh,College Stats
2022,1,21,KAN,Trent McDuffie,CB,21,2024,1,0,3,28,28,43,0,0,0,0,0,0,0,0,0,0,0,133,2,4.5,Washington,College Stats
2022,1,22,GNB,Quay Walker,LB,22,2024,0,0,3,18,18,44,0,0,0,0,0,0,0,0,0,0,0,206,1,6.5,Georgia,College Stats
2022,1,23,BUF,Kaiir Elam,CB,21,2024,0,0,0,6,6,29,0,0,0,0,0,0,0,0,0,0,0,56,2,,Florida,College Stats
2022,1,24,DAL,Tyler Smith,OL,21,2024,0,2,3,25,25,47,0,0,0,0,0,0,0,0,1,0,0,1,,,Tulsa,College Stats
2022,1,25,BAL,Tyler Linderbaum,OL,22,2024,0,2,3,25,25,49,0,0,0,0,0,0,0,0,0,0,0,,,,Iowa,College Stats
2022,1,26,NYJ,Jermaine Johnson II,LB,23,2024,0,1,1,14,14,33,0,0,0,0,0,0,0,0,0,0,0,58,1,10.0,Florida St.,College Stats
2022,1,27,JAX,Devin Lloyd,LB,23,2024,0,0,3,20,20,48,0,0,0,0,0,0,0,0,0,0,0,195,4,2.0,Utah,College Stats
2022,1,28,GNB,Devonte Wyatt,DT,24,2024,0,0,0,6,6,47,0,0,0,0,0,0,0,0,0,0,0,43,,12.0,Georgia,College Stats
2022,1,29,NWE,Cole Strange,OL,24,2024,0,0,2,11,11,30,0,0,0,0,0,0,0,0,0,3,0,1,,,Chattanooga,
2022,1,30,KAN,George Karlaftis III,DE,21,2024,0,0,3,20,20,49,0,0,0,0,0,0,0,0,0,0,0,68,,24.5,Purdue,College Stats
2022,1,31,CIN,Daxton Hill,DB,21,2024,0,0,1,9,9,37,0,0,0,0,0,0,0,0,0,0,0,103,2,2.5,Michigan,College Stats
2022,1,32,MIN,Lewis Cine,DB,22,2024,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,,,,Georgia,College Stats
2022,2,33,TAM,Logan Hall,DE,22,2024,0,0,1,13,13,49,0,0,0,0,0,0,0,0,0,0,0,35,,8.5,Houston,College Stats
2022,2,34,GNB,Christian Watson,WR,23,2024,0,0,3,16,16,38,0,0,0,0,0,15,114,2,98,1653,14,,,,North Dakota St.,
2022,2,35,TEN,Roger McCreary,CB,22,2024,0,0,2,13,13,47,0,0,0,0,0,0,0,0,0,0,0,175,2,3.0,Auburn,College Stats
2022,2,36,NYJ,Breece Hall,RB,21,2024,0,0,2,20,20,40,0,0,0,0,0,512,2333,14,152,1292,8,1,,,Iowa St.,College Stats
2022,2,37,HOU,Jalen Pitre,S,23,2024,0,0,3,16,16,44,0,0,0,0,0,0,0,0,0,0,0,201,6,1.0,Baylor,College Stats
2022,2,38,ATL,Arnold Ebiketie,DE,23,2024,0,0,0,8,8,50,0,0,0,0,0,0,0,0,0,0,0,63,,14.5,Penn St.,College Stats
2022,2,39,CHI,Kyler Gordon,CB,22,2024,0,0,2,12,12,42,0,0,0,0,0,0,0,0,0,0,0,147,5,1.5,Washington,College Stats
2022,2,40,SEA,Boye Mafe,DE,23,2024,0,0,1,14,14,48,0,0,0,0,0,0,0,0,0,0,0,88,,18.0,Minnesota,College Stats
2022,2,41,SEA,Kenneth Walker III,RB,21,2024,0,0,3,20,20,41,0,0,0,0,0,600,2528,24,102,723,2,1,,,Michigan St.,College Stats
