Draft_Year,Team,Round_1_Picks,Round_2_Picks,Round_3_Picks,Round_4_Picks,Round_5_Picks,Round_6_Picks,Round_7_Picks,Round_8_Picks,Round_9_Picks,Round_10_Picks,Round_11_Picks,Round_12_Picks,Round_13_Picks,Round_14_Picks,Round_15_Picks,Round_16_Picks,Round_17_Picks,Total_Picks
1969,atl,1,1,2,2,1,1,2,1,0,1,1,1,1,1,1,1,1,19
1969,bal,1,2,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,20
1969,bos,1,1,1,0,1,0,1,1,2,1,1,1,1,1,1,1,1,16
1969,buf,1,1,1,1,1,0,1,2,0,1,1,1,1,1,1,1,1,16
1969,chi,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,17
1969,cin,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,17
1969,cle,1,0,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,18
1969,dal,1,1,2,0,1,1,1,1,1,1,1,1,1,1,1,1,1,17
1969,den,0,1,1,2,1,2,1,0,1,1,1,1,1,1,1,1,1,17
1969,det,0,2,1,0,0,0,0,1,1,1,1,1,1,1,1,2,1,14
1969,gnb,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,18
1969,hou,1,1,2,2,1,1,1,1,1,2,1,1,1,1,1,1,1,20
1969,kan,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,18
1969,lac,2,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,16
1969,mia,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,19
1969,min,0,2,0,1,3,1,0,1,1,1,1,1,1,1,1,0,1,16
1969,nor,1,1,0,2,2,1,0,1,1,1,1,1,1,1,1,1,1,17
1969,nyg,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,14
1969,nyj,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16
1969,phi,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,19
1969,pit,1,2,1,1,0,0,2,1,1,1,1,1,1,1,1,1,1,17
1969,rai,1,1,1,1,0,2,1,0,1,0,1,0,2,1,1,1,1,15
1969,ram,4,1,2,2,2,3,1,2,2,2,2,2,2,2,2,2,2,35
1969,sfo,2,0,0,2,1,1,1,1,1,1,1,1,1,1,1,1,1,17
1969,was,0,1,1,0,1,1,2,1,0,0,1,1,1,1,1,1,1,14
