Team,Year,Pos,Player,Age,Yrs,GS,Summary of Player Stats,Drafted (tm/rnd/yr),Table_Type
SEA,2001,QB,Matt Hasselbeck,26,2,12,"176 for 321, 2,023 yards, 7 td, 8 int, & 40 rushes for 141 yards and 0 td",,Starters_1
SEA,2001,RB,Shaun Alexander,24,1,12,"309 rushes for 1,318 yards, 14 td, & 44 catches for 343 yards and 2 td",,Starters_1
SEA,2001,FB,Mack Strong,30,7,13,"17 rushes for 55 yards, 0 td, & 17 catches for 141 yards and 0 td",,Starters_1
SEA,2001,WR,Darrell Jackson,23,1,16,"70 catches for 1,081 yards, 8 td, & 1 rush for 9 yards and 0 td",,Starters_1
SEA,2001,WR,Koren Robinson,21,Rook,13,"39 catches for 536 yards, 1 td, & 4 rushes for 13 yards and 0 td",,Starters_1
SEA,2001,TE,Christian Fauria,30,6,11,"21 catches for 188 yards, 1 td",,Starters_1
SEA,2001,LT,Walter Jones*+,27,4,16,,,Starters_1
SEA,2001,LG,Steve Hutchinson,24,Rook,16,1 fumble recovered,,Starters_1
SEA,2001,C,Robbie Tobeck,31,7,16,,,Starters_1
SEA,2001,RG,Chris Gray,31,8,16,2 fumbles recovered,,Starters_1
SEA,2001,RT,Todd Weiner,26,3,13,1 fumble recovered,,Starters_1
SEA,2001,LDE,Michael Sinclair,33,9,16,"3.5 sacks, 0 interceptions, 1 fumble recovered",,Starters_1
SEA,2001,LDT,Chad Eaton,29,5,16,"1.0 sacks, 0 interceptions, 1 fumble recovered",,Starters_1
SEA,2001,RDT,John Randle*,34,11,14,"11.0 sacks, 0 interceptions, 1 fumble recovered",,Starters_1
SEA,2001,RDE,Lamar King,26,2,8,"0.0 sacks, 0 interceptions, 1 fumble recovered",,Starters_1
SEA,2001,LLB,Anthony Simmons,25,3,16,"2.0 sacks, 0 interceptions, 0 fumbles recovered",,Starters_1
SEA,2001,MLB,Levon Kirkland,32,9,16,"1.0 sacks, 0 interceptions, 0 fumbles recovered",,Starters_1
SEA,2001,RLB,Chad Brown,31,8,16,"8.5 sacks, 0 interceptions, 1 fumble recovered",,Starters_1
SEA,2001,LCB,Ken Lucas,22,Rook,8,"0.0 sacks, 1 interception, 1 fumble recovered",,Starters_1
SEA,2001,RCB,Willie Williams,31,8,14,"0.0 sacks, 4 interceptions, 1 fumble recovered",,Starters_1
SEA,2001,SS,Reggie Tongue,28,5,16,"1.0 sacks, 3 interceptions, 2 fumbles recovered",,Starters_1
SEA,2001,FS,Marcus Robertson,32,10,12,"0.0 sacks, 2 interceptions, 0 fumbles recovered",,Starters_1
